id,resource_uri,created,name,pp,accuracy,description,modified,power,category
1,/api/v1/move/1/,2013-11-03T15:06:09.478009,Pound,35,100,Inflicts regular damage.,2013-12-24T15:24:29.625596,40,
2,/api/v1/move/2/,2013-11-03T15:06:09.484735,Karate-chop,25,100,Inflicts regular damage.  User's critical hit rate is one level higher when using this move.,2013-12-24T15:24:29.650999,50,
3,/api/v1/move/3/,2013-11-03T15:06:09.487619,Doubleslap,10,85,"Inflicts regular damage.  Hits 2–5 times in one turn.

Has a 3/8 chance each to hit 2 or 3 times, and a 1/8 chance each to hit 4 or 5 times.  Averages to 3 hits per use.",2013-12-24T15:24:29.658662,15,
4,/api/v1/move/4/,2013-11-03T15:06:09.490564,Comet-punch,15,85,"Inflicts regular damage.  Hits 2–5 times in one turn.

Has a 3/8 chance each to hit 2 or 3 times, and a 1/8 chance each to hit 4 or 5 times.  Averages to 3 hits per use.",2013-12-24T15:24:29.664223,18,
5,/api/v1/move/5/,2013-11-03T15:06:09.493769,Mega-punch,20,85,Inflicts regular damage.,2013-12-24T15:24:29.669820,80,
6,/api/v1/move/6/,2013-11-03T15:06:09.497135,Pay-day,20,100,"Inflicts regular damage.  After the battle ends, the winner receives five times the user's level in extra money for each time this move was used.",2013-12-24T15:24:29.676149,40,
7,/api/v1/move/7/,2013-11-03T15:06:09.500246,Fire-punch,15,100,Inflicts regular damage.  Has a 10% chance to burn the target.,2013-12-24T15:24:29.681811,75,
8,/api/v1/move/8/,2013-11-03T15:06:09.503161,Ice-punch,15,100,Inflicts regular damage.  Has a 10% chance to freeze the target.,2013-12-24T15:24:29.687639,75,
9,/api/v1/move/9/,2013-11-03T15:06:09.505490,Thunderpunch,15,100,Inflicts regular damage.  Has a 10% chance to paralyze the target.,2013-12-24T15:24:29.693349,75,
10,/api/v1/move/10/,2013-11-03T15:06:09.507629,Scratch,35,100,Inflicts regular damage.,2013-12-24T15:24:29.699389,40,
11,/api/v1/move/11/,2013-11-03T15:06:09.509751,Vicegrip,30,100,Inflicts regular damage.,2013-12-24T15:24:29.705323,55,
12,/api/v1/move/12/,2013-11-03T15:06:09.512241,Guillotine,5,30,"Inflicts damage equal to the target's max HP.  Ignores accuracy and evasion modifiers.  This move's accuracy is 30% plus 1% for each level the user is higher than the target.  If the user is a lower level than the target, this move will fail.

Because this move inflicts a specific and finite amount of damage, endure still prevents the target from fainting.

The effects of lock-on, mind-reader, and no-guard still apply, as long as the user is equal or higher level than the target.  However, they will not give this move a chance to break through detect or protect.",2013-12-24T15:24:29.711363,1,
13,/api/v1/move/13/,2013-11-03T15:06:09.514660,Razor-wind,10,100,"Inflicts regular damage.  User's critical hit rate is one level higher when using this move.  User charges for one turn before attacking.

This move cannot be selected by sleep-talk.",2013-12-24T15:24:29.717160,80,
14,/api/v1/move/14/,2013-11-03T15:06:09.516991,Swords-dance,30,0,Raises the user's Attack by two stages.,2013-12-24T15:24:29.722955,0,
15,/api/v1/move/15/,2013-11-03T15:06:09.519610,Cut,30,95,Inflicts regular damage.,2013-12-24T15:24:29.728206,50,
16,/api/v1/move/16/,2013-11-03T15:06:09.526176,Gust,35,100,"Inflicts regular damage.

If the target is under the effect of bounce, fly, or sky-drop, this move will hit with double power.",2013-12-24T15:24:29.734492,40,
17,/api/v1/move/17/,2013-11-03T15:06:09.528672,Wing-attack,35,100,Inflicts regular damage.,2013-12-24T15:24:29.739670,60,
18,/api/v1/move/18/,2013-11-03T15:06:09.531017,Whirlwind,20,100,"Switch the target out for another of its trainer's Pokémon selected at random.  Wild battles end immediately.

Doesn't affect Pokémon with suction-cups or under the effect of ingrain.",2013-12-24T15:24:29.745496,0,
19,/api/v1/move/19/,2013-11-03T15:06:09.533334,Fly,15,95,"Inflicts regular damage.  User flies high into the air for one turn, becoming immune to attack, and hits on the second turn.

During the immune turn, gust, hurricane, sky-uppercut, smack-down, thunder, twister, and whirlwind still hit the user normally.  gust and twister also have double power against the user.

The damage from hail and sandstorm still applies during the immune turn.

The user may be hit during its immune turn if under the effect of lock-on, mind-reader, or no-guard.

This move cannot be used while gravity is in effect.

This move cannot be selected by sleep-talk.",2013-12-24T15:24:29.751504,90,
20,/api/v1/move/20/,2013-11-03T15:06:09.535982,Bind,20,85,"Inflicts regular damage.  For the next 2–5 turns, the target cannot leave the field and is damaged for 1/16 its max HP at the end of each turn.  The user continues to use other moves during this time.  If the user leaves the field, this effect ends.

Has a 3/8 chance each to hit 2 or 3 times, and a 1/8 chance each to hit 4 or 5 times.  Averages to 3 hits per use.

rapid-spin cancels this effect.",2013-12-24T15:24:29.756425,15,
21,/api/v1/move/21/,2013-11-03T15:06:09.538455,Slam,20,75,Inflicts regular damage.,2013-12-24T15:24:29.761713,80,
22,/api/v1/move/22/,2013-11-03T15:06:09.540918,Vine-whip,15,100,Inflicts regular damage.,2013-12-24T15:24:29.767216,35,
